run_id,variant,method,split,retrieval,memory,exact_match,f1,fallback_rate,metrics_path,notes
20260626T104936Z,retrieval_off,debate,validation,off,off,0.5849,0.8535,0.0189,outputs/p1_ablation_matrix/20260626T104936Z/retrieval_off,server qwen val 53
20260626T104936Z,retrieval_bm25_rerank,debate,validation,bm25_rerank,off,0.5283,0.8096,0.0189,outputs/p1_ablation_matrix/20260626T104936Z/retrieval_bm25_rerank,server qwen val 53
20260626T104936Z,memory_read_only,debate,validation,bm25_only,read_only,0.5849,0.8269,0.0566,outputs/p1_ablation_matrix/20260626T104936Z/memory_read_only,server qwen val 53
20260626T104936Z,memory_read_update,debate,validation,bm25_only,read_update,0.5660,0.8478,0.0377,outputs/p1_ablation_matrix/20260626T104936Z/memory_read_update,server qwen val 53
20260626T104936Z,closing_off,debate,validation,bm25_only,off,0.4528,0.7806,0.0377,outputs/p1_ablation_matrix/20260626T104936Z/closing_off,server qwen val 53
20260626T104936Z,judge_question_on,debate,validation,bm25_only,off,0.4528,0.8136,0.0283,outputs/p1_ablation_matrix/20260626T104936Z/judge_question_on,server qwen val 53
20260627,vanilla_test,vanilla,test,bm25_only,off,0.3774,0.7712,0,docs/experiments/test_metrics/vanilla_test_metrics.json,B.5.8 one-shot
20260627,debate_optimized_test,debate,test,off,read_only,0.3208,0.6957,0.0189,docs/experiments/test_metrics/debate_optimized_test_metrics.json,B.5.8 one-shot

# Full history including baselines: docs/experiments/p1_ablation_summary.csv
# Mock smoke runs (20260626T072444Z, EM=0) excluded — not valid metrics
